País,Região,Área do Governo Emissor,Título,Tipo,Data,OSS Específico?,Custo,Soberania,Apoio à Indústria Nacional,Modernização,Transparência,Segurança,Ação,Termo,Status,Comentários,Fonte
Argentina,América do Sul,Legislativo,0298-S-2020,Projeto de Lei,2020,Sim,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Aquisição - obrigatório,Software Livre / Código Aberto,Proposed,Would mandate all branches to migrate toward the exclusive use of open format programs.,https://www.senado.gob.ar/parlamentario/comisiones/verExp/298.20/S/PL
Argentina,América do Sul,Legislativo,2539-D-2021,Projeto de Lei,2021,Não,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,Aquisição - obrigatório,Software Livre / Código Aberto,Proposed,Systems installed in educational facilities will rely exclusively on free software. The Ministry for Education will promote its use - particularly the development of the OS Huayra.,https://www4.hcdn.gob.ar/dependencias/dsecretaria/Periodo2021/PDF2021/TP2021/2539-D-2021.pdf
Argentina,América do Sul,Legislativo,0105-S-2022,Projeto de Lei,2022,Sim,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Aquisição - obrigatório,Software Livre / Código Aberto,Proposed,All branches of government are mandated to use OSS developed with open standards.,https://www.senado.gob.ar/parlamentario/comisiones/verExp/105.22/S/PL
Argentina,América do Sul,Legislativo,1905-D-2010,Projeto de Lei,2010,Sim,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Aquisição - obrigatório,Software Livre / Código Aberto,Falhou,Requests the Executivo to use only OSS on the computers provided to students and teachers under Decree 459/2010.,https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=1905-D-2010&tipo=RESOLUCION
Argentina,América do Sul,Legislativo,2385-D-2010,Projeto de Lei,2010,Sim,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Aquisição - obrigatório,Software Livre / Código Aberto,Falhou,Requests the Executivo to use OSS on the computers provided to students and teachers under Decree 459/2010.,https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=2385-D-2010&tipo=RESOLUCION
Argentina,América do Sul,Legislativo,1292-S-2010,Projeto de Lei,2010,Sim,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Aquisição - obrigatório,Software Livre / Código Aberto,Falhou,Resolution would require all systems used by the Senate to use OSS within the year of approval. Expired in February 2012.,https://www.senado.gob.ar/parlamentario/comisiones/verExp/1292.10/S/PR
Argentina,América do Sul,Legislativo,1443-D-2013: Regime for the Migration of Operating Systems Installed in laptops and desktop devices of the national public administration,Projeto de Lei,2013,Sim,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Aquisição - obrigatório,Software Livre / Código Aberto,Falhou,"Art. 1:  The public national administration (centralized and decentralized), Legislativo and Judicial Powers, must migrate toward ""Free Software"" in their laptops and desktop within 10 years. Replicated by Projeto de Lei 0934-D-15. ",https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=1443-D-2013&tipo=LEY
Argentina,América do Sul,Ministry,Technological Decalogue,Other,2019,Não,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,Como Usar,Public Software,Approved,"Set by the National Office of Information Technologies. The ONTI Technological Decalogue recommends designing solutions that can be reutilized, and to share them to reduce costs. Also recommends open standards to maximize transparency.",https://www.argentina.gob.ar/sites/default/files/decalogo_tecnologico_onti_version_1_1_0.pdf
Argentina,América do Sul,Legislativo,1688-D-2013: Policy for Software Licensing for the National Government,Projeto de Lei,2013,Sim,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,Aquisição - obrigatório,Software Livre / Código Aberto,Falhou,All branches of government are mandated to implement OSS in their systems and devices.,https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=1688-D-2013&tipo=LEY
Argentina,América do Sul,Legislativo,2097-D-2013: Use of Free Software for the National Government,Projeto de Lei,2013,Sim,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,Aquisição - obrigatório,Software Livre / Código Aberto,Falhou,"All branches of government will prefer free software, progressively, until they reach total use.",https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=2097-D-2013&tipo=LEY
Argentina,América do Sul,Ministry,Code of Best Practices in the development of Public Software,Other,2019,Não,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Como Usar,Public Software,Approved,"Set by the National Office of Information Technologies, it provides guidelines for the development of public software.",https://www.argentina.gob.ar/onti/codigo-de-buenas-practicas-para-el-desarrollo-de-software-publico
Argentina,América do Sul,Agency,Resolution 681/2007,Directives & Regulation,2007,Sim,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Aquisição - consultivo,Software Livre / Código Aberto,Approved,"Authorizes the use of the Free Software for Access to Systems called ""SAS-ANSES 3270"". License.",http://servicios.infoleg.gob.ar/infolegInternet/anexos/130000-134999/134247/norma.htm
Argentina,América do Sul,Ministry,Resolution 823/2007,Directives & Regulation,2007,Sim,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Aquisição - consultivo,Software Livre / Código Aberto,Approved,Authorization of use for Free Software system.,http://servicios.infoleg.gob.ar/infolegInternet/anexos/125000-129999/129729/norma.htm
Argentina,América do Sul,Ministry,Resolution 1041/2012: Comprehensive Educational Information System and the Infoedu Portal - Lines of Action,Directives & Regulation,2012,Não,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Aquisição - consultivo,Software Livre / Código Aberto,Approved,"For the development of a portal for the Ministry of Education, the resolution recommends using a design developed through free software.",http://servicios.infoleg.gob.ar/infolegInternet/anexos/195000-199999/199678/norma.htm
Argentina,América do Sul,Ministry,National Digitalization Plan,Strategy,2019,Não,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Aquisição - consultivo,Software Livre / Código Aberto,Approved,"Set by the Undersecretariat of Administration Innovation. The national digitalization plan made available various piece of OSS to local municipalities, state-run companies, and universities to assist with their digitalization. ",https://www.argentina.gob.ar/jefatura/innovacion-publica/gobierno-abierto-y-pais-digital/paisdigital/soluciones-tecnologicas-para-la-administracion-publica
Argentina,América do Sul,Ministry,Disposition 408/2013: Approves the Open Public Data Directive for the Electoral Administration,Directives & Regulation,2013,Não,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Aquisição - obrigatório,Software Livre / Código Aberto,Approved,This disposition from the National Electoral Directorate states that development tools should preference the use of open source.,http://servicios.infoleg.gob.ar/infolegInternet/anexos/220000-224999/221756/norma.htm
Argentina,América do Sul,Legislativo,0777-S-2014: Argentina's Free Software Law,Projeto de Lei,2014,Sim,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Aquisição - obrigatório,Software Livre / Código Aberto,Falhou,The national government branches and offices must transition toward using free software. Expired in February 2016.,https://www.senado.gob.ar/parlamentario/comisiones/verExp/777.14/S/PL
Argentina,América do Sul,Executivo,Resolution 3385/2011:Approve the Call for the Presentation of Projects in the Framework of the Points of Culture Program During the Year 2011,Directives & Regulation,2011,Não,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Pesquisa e Desenvolvimento (P&D),Software Livre / Código Aberto,Approved,Art. 29: Provision of multimedia equipment for digital inclusion includes (amongst others) a computer with OSS programs.,http://servicios.infoleg.gob.ar/infolegInternet/anexos/185000-189999/185468/norma.htm
Argentina,América do Sul,Legislativo,1349-S-2014: Use of Free Software in the National Government,Projeto de Lei,2014,Sim,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,Aquisição - obrigatório,Software Livre / Código Aberto,Falhou,The national government branches and offices must transition toward using free software. Expired in February 2016.,https://www.senado.gob.ar/parlamentario/comisiones/verExp/1349.14/S/PL
Argentina,América do Sul,Executivo,Resolution 2641/2011,Directives & Regulation,2011,Não,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Pesquisa e Desenvolvimento (P&D),Software Livre / Código Aberto,Approved,Selected organizations will receive equipment including open source software for audio editing.,http://servicios.infoleg.gob.ar/infolegInternet/anexos/180000-184999/183988/norma.htm
Argentina,América do Sul,Executivo,Resolution 3149/2012: Approve the Second Call for the Presentation of Projects in the Framework of the Points of Culture Program,Directives & Regulation,2012,Não,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Pesquisa e Desenvolvimento (P&D),Software Livre / Código Aberto,Approved,Art. 29: Provision of multimedia equipment for digital inclusion includes (amongst others) a computer with OSS programs.,http://servicios.infoleg.gob.ar/infolegInternet/anexos/195000-199999/199884/norma.htm
Argentina,América do Sul,Executivo,Resolution 7495/2013: Approve the Third Call for the Presentation of Projects in the Framework of the Points of Culture Program,Directives & Regulation,2013,Não,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Pesquisa e Desenvolvimento (P&D),Software Livre / Código Aberto,Approved,Art. 29: Provision of multimedia equipment for digital inclusion includes (amongst others) a computer with OSS programs.,http://servicios.infoleg.gob.ar/infolegInternet/anexos/220000-224999/221312/norma.htm
Argentina,América do Sul,Ministry,Disposition 1-E/2017,Directives & Regulation,2017,Não,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Pesquisa e Desenvolvimento (P&D),Software Livre / Código Aberto,Approved,Creates the Spatial Data Infrastructure  (IDE); amongst its functions is to delineate policies on Free Software for Geographic Information Systems (Art. 2.c).,http://servicios.infoleg.gob.ar/infolegInternet/anexos/270000-274999/271923/norma.htm
Argentina,América do Sul,Ministry,Resolution 217/2018: Spatial Data Infrastructure System for Communication,Directives & Regulation,2018,Não,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Pesquisa e Desenvolvimento (P&D),Software Livre / Código Aberto,Approved,Creates the Spatial Data Infrastructure System for Communication (IDECOM); amongst its functions is to delineate policies on Free Software for Geographic Information Systems (Art. 2.c).,http://servicios.infoleg.gob.ar/infolegInternet/anexos/305000-309999/308981/norma.htm
Argentina,América do Sul,Legislativo,5474-D-2001,Apoio,2001,Sim,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Pesquisa e Desenvolvimento (P&D),Software Livre / Código Aberto,Approved,Declares the first encounter on OSS for education to be of parliamentary interest.,https://www.hcdn.gov.ar/proyectos/index.html
Argentina,América do Sul,Executivo,Resolution 259/2003,Apoio,2003,Sim,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Pesquisa e Desenvolvimento (P&D),Software Livre / Código Aberto,Approved,"Declares the ""Free Software Area in the National State"" undertaking to be of national interest.",https://www.boletinoficial.gob.ar/detalleAviso/primera/7253104/20030522?busqueda=1
Argentina,América do Sul,Executivo,Resolution 299/2004: Declare the first National Conference on Free Software to be of national interest,Apoio,2004,Sim,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Pesquisa e Desenvolvimento (P&D),Software Livre / Código Aberto,Approved,Declare the first National Conference on Free Software to be of national interest.,https://www.boletinoficial.gob.ar/detalleAviso/primera/7263655/20040604?busqueda=1
Argentina,América do Sul,Executivo,Resolution 665/2005,Apoio,2005,Sim,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Pesquisa e Desenvolvimento (P&D),Software Livre / Código Aberto,Approved,Declare the second National Conference on Free Software to be of national interest.,https://www.boletinoficial.gob.ar/detalleAviso/primera/7275750/20050609?busqueda=1
Argentina,América do Sul,Legislativo,7728-D-2014,Projeto de Lei,2014,Sim,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Aquisição - obrigatório,Software Livre / Código Aberto,Falhou,"Would make the use of free software mandatory for the exchange, transmission, storage and processing of electronic data, information and documents in the national public administration.",https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=7728-D-2014&tipo=LEY
Argentina,América do Sul,Legislativo,6412-D-2006,Apoio,2006,Sim,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Pesquisa e Desenvolvimento (P&D),Software Livre / Código Aberto,Approved,Declares the social project for the development and incorporation of computer technology based exclusively on free software called UTUTO to be of national interest (Chamber of Deputies).,https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=6412-D-2006&tipo=RESOLUCION
Argentina,América do Sul,Legislativo,0359-D-2007,Apoio,2007,Sim,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Pesquisa e Desenvolvimento (P&D),Software Livre / Código Aberto,Approved,Declares the VII regional conference for OSS to be of congressional interest (Chamber of Deputies).,https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=0359-D-2007&tipo=RESOLUCION
Argentina,América do Sul,Legislativo,4821-D-2007,Apoio,2007,Sim,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Pesquisa e Desenvolvimento (P&D),Software Livre / Código Aberto,Approved,Declares the 3rd Strategic Encounter of OSS and the 1st Regional Encounter of OSS to be of congressional interest (Chamber of Deputies).,https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=4821-D-2007&tipo=RESOLUCION
Argentina,América do Sul,Legislativo,2185-D-2008,Apoio,2008,Sim,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Pesquisa e Desenvolvimento (P&D),Software Livre / Código Aberto,Approved,Declares the Latin American Free Software Installation Festival (FLISOL) of congressional interest  (Chamber of Deputies).,https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=2185-D-2008&tipo=RESOLUCION
Argentina,América do Sul,Legislativo,5758-D-2008,Apoio,2008,Sim,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Pesquisa e Desenvolvimento (P&D),Software Livre / Código Aberto,Approved,Declares the 1st National Congress on Free Software to be of congressional interest (Chamber of Deputies).,https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=5758-D-2008&tipo=RESOLUCION
Argentina,América do Sul,Legislativo,1843-S-2008,Apoio,2008,Sim,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Pesquisa e Desenvolvimento (P&D),Software Livre / Código Aberto,Approved,Declares the VIII regional conference for OSS to be of congressional interest (Senate).,https://www.senado.gob.ar/parlamentario/comisiones/verExp/1843.08/S/PD
Argentina,América do Sul,Legislativo,0832-S-2010,Apoio,2010,Sim,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Pesquisa e Desenvolvimento (P&D),Software Livre / Código Aberto,Approved,Declares the II Free Software Festival to be of congressional interest (Senate).,https://www.senado.gob.ar/parlamentario/comisiones/verExp/832.10/S/PD
Argentina,América do Sul,Legislativo,2383-D-2010,Apoio,2010,Sim,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Pesquisa e Desenvolvimento (P&D),Software Livre / Código Aberto,Approved,Declares the Festival of OSS Installation of congressional interest  (Chamber of Deputies).,https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=2383-D-2010&tipo=DECLARACION
Argentina,América do Sul,Legislativo,1918-D-2012,Apoio,2012,Sim,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Pesquisa e Desenvolvimento (P&D),Software Livre / Código Aberto,Approved,Proposes that the Executivo supports the development of programs developed with free software to optimize agricultural activities.,https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=1918-D-2012&tipo=DECLARACION
Argentina,América do Sul,Legislativo,7601-D-2012,Apoio,2012,Sim,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Pesquisa e Desenvolvimento (P&D),Software Livre / Código Aberto,Approved,"Chamber of Deputies supports the agreement between Linux and the School for Legal Science of the Patagonia San Juan Bosco University, to provide training in free software.",https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=7601-D-2012&tipo=DECLARACION
Argentina,América do Sul,Legislativo,1772-D-2015: Software Licensing Policy for the National State,Projeto de Lei,2015,Sim,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,Aquisição - obrigatório,Software Livre / Código Aberto,Falhou,"Art. 3: The Executivo, Legislativo and Judicial Powers of the Nation, the National Decentralized Organizations and the Companies where the National State has a majority shareholding, must implement ""Free Software"" or Free Programs in their computer systems and equipment.",https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=1772-D-2015&tipo=LEY
Argentina,América do Sul,Legislativo,6247-D-2013,Apoio,2013,Sim,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Pesquisa e Desenvolvimento (P&D),Software Livre / Código Aberto,Approved,Chamber of Deputies declares of interest the 2013 Latinamerican Conference of GeoGebra - an educational free software.,https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=6247-D-2013&tipo=RESOLUCION
Argentina,América do Sul,Legislativo,4633-D-2013,Apoio,2013,Sim,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Pesquisa e Desenvolvimento (P&D),Software Livre / Código Aberto,Approved,Chamber of Deputies supports the Latin American Free Software Installation Festival (FLISOL).,https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=4633-D-2013&tipo=DECLARACION
Argentina,América do Sul,Ministry,Resolution 290/2013: Approve the Regulations for “Hackathon Program.Ar”,Apoio,2013,Não,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Pesquisa e Desenvolvimento (P&D),Software Livre / Código Aberto,Approved,"Objective of the hackathon is to promote the use of ""Free Software"".",http://servicios.infoleg.gob.ar/infolegInternet/anexos/215000-219999/218281/norma.htm
Argentina,América do Sul,Legislativo,1608-S-2017,Apoio,2017,Sim,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Pesquisa e Desenvolvimento (P&D),Software Livre / Código Aberto,Approved,Senate supports the 2017 Latin American Free Software Installation Festival (FLISOL).,https://www.senado.gob.ar/parlamentario/comisiones/verExp/1608.17/S/PD
Argentina,América do Sul,Ministry,Establishing a productive agglomerate dedicated to free software,Apoio,2013,Não,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Pesquisa e Desenvolvimento (P&D),Software Livre / Código Aberto,Approved,The national agency for scientific and technological promotion will provide funds to establish a productive agglomerate dedicated to free software.,https://www.iprofesional.com/tecnologia/159530-el-ministerio-de-ciencia-crea-cluster-para-empresas-de-software-libre.amp
Argentina,América do Sul,Ministry,Entertech,Apoio,2006,Não,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Treinamento,Software Livre / Código Aberto,Approved,"In collaboration with Oracle and Sun, the Argentinian Ministry of Labor launched Entertech - a program to train citizens in open technologies.",https://www.canal-ar.com.ar/5665-Oracle-y-Sun-entregaran-1-400-becas-de-informatica.html
Argentina,América do Sul,Ministry,Entertech II,Apoio,2008,Não,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Treinamento,Software Livre / Código Aberto,Approved,"Argentina‘s Ministry of Labor approved EnterTECH, a public-private collaborative program that trains citizens in open technologies.",https://www.canal-ar.com.ar/5665-Oracle-y-Sun-entregaran-1-400-becas-de-informatica.html
Argentina,América do Sul,Legislativo,0934-D-2015: Regime for the Migration of Operating Systems Installed in laptops and desktop devices of the national public administration,Projeto de Lei,2015,Sim,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Aquisição - obrigatório,Software Livre / Código Aberto,Falhou,Replicates Projeto de Lei 1443-D-13.,https://www.hcdn.gob.ar/proyectos/resultados-buscador.html
Argentina,América do Sul,Legislativo,0109-S-2016,Projeto de Lei,2016,Sim,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Aquisição - obrigatório,Software Livre / Código Aberto,Falhou,Branches and offices in the national public administration are to migrate toward the exclusive use of free software. Expired in February 2018.,https://www.senado.gob.ar/parlamentario/comisiones/verExp/109.16/S/PL
Argentina,América do Sul,Legislativo,3626-D-2016,Projeto de Lei,2016,Sim,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,Aquisição - obrigatório,Software Livre / Código Aberto,Falhou,Branches and offices in the national public adminstration are to preferentially use free software.,https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=3626-D-2016&tipo=LEY
Argentina,América do Sul,Legislativo,0405-S-2018,Projeto de Lei,2018,Sim,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Aquisição - obrigatório,Software Livre / Código Aberto,Falhou,Projeto de Lei would mandate the transition toward free software for all branches and offices of the national public administration. Expired in February 2020.,https://www.senado.gob.ar/parlamentario/comisiones/verExp/405.18/S/PL
Argentina,América do Sul,Legislativo,2468-D-2018,Projeto de Lei,2018,Sim,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,Aquisição - obrigatório,Software Livre / Código Aberto,Falhou,Preferred use of free software in systems for all branches and offices of national public administration.,https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=2468-D-2018&tipo=LEY
Argentina,América do Sul,Legislativo,4110-D-2011,Projeto de Lei,2011,Sim,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Pesquisa e Desenvolvimento (P&D),Software Livre / Código Aberto,Falhou,Would create the Program for Argentinian Free Software Development.,https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=4110-D-2011&tipo=LEY
Argentina,América do Sul,Legislativo,2974-D-2011,Apoio,2011,Sim,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Pesquisa e Desenvolvimento (P&D),Software Livre / Código Aberto,Falhou,Declares the XI Regional Conference on Free Software to be of Congressional interest (Chamber of Deputies).,https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=2974-D-2011&tipo=RESOLUCION
Argentina,América do Sul,Legislativo,1913-S-2013,Apoio,2013,Sim,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Pesquisa e Desenvolvimento (P&D),Software Livre / Código Aberto,Falhou,Senate would declare support for the agglomerate dedicated to free software. Expired in February 2015,https://www.senado.gob.ar/parlamentario/comisiones/verExp/1913.13/S/PD
Argentina,América do Sul,Legislativo,6244-D-2016,Apoio,2016,Sim,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Pesquisa e Desenvolvimento (P&D),Software Livre / Código Aberto,Falhou,Declares the Argentina International Conference on Free Software to be of congressional interest (Chamber of Deputies).,https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=6244-D-2016&tipo=RESOLUCION
Argentina,América do Sul,Legislativo,2077-S-2011: To establish the principle of tech neutrality in the public administration,Projeto de Lei,2011,Não,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Neutralidade Tecnológica,Software Livre / Código Aberto,Falhou,Art. 3 indicates that no office in the public administration will acquire hardware that will rely on only specific software. Projeto de Lei expired in February 2013.,https://www.senado.gob.ar/parlamentario/comisiones/verExp/2077.11/S/PL
Argentina,América do Sul,Legislativo,1592-D-2017: Principle of Tech Neutrality in the Public Administration,Projeto de Lei,2017,Não,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Neutralidade Tecnológica,Software Livre / Código Aberto,Falhou,Art. 4 indicates that no office in the public administration will acquire hardware that will rely on only specific software.,https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=1592-D-2017&tipo=LEY
Argentina,América do Sul,Executivo,Announcement supporting Linux,Apoio,2004,Sim,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Aquisição - consultivo,Software Livre / Código Aberto,Approved,"The National Information Technology Office & National Information Office, which coordinate IT policy and implementation, announced that they promote Linux in all applications in public administration.  The rationale for this decision is lower costs, creating local employment, and security.",https://www.pagina12.com.ar/diario/sociedad/3-31814-2004-02-23.html
